Day,Cash On Hand
11,355777
12,467292
13,411946
14,173465
15,421891
16,64375
17,624830
18,587893
19,516511
20,747359
21,655767
22,1310991
23,182463
24,225364
25,219993
26,643790
27,522948
28,467014
29,417263
30,2394907
31,216974
32,59183
33,3940355
34,4886197
35,6120094
36,7891970
37,9201597
38,10527682
39,12376170
40,14075315
41,15721753
42,16265783
43,18582818
44,25001150
45,28966794
46,29966069
47,31487402
48,34186553
49,36570023
50,38776058
51,41241674
52,52531298
53,60045555
54,67615866
55,70747767
56,73037800
57,74944778
58,80018026
59,83512997
60,87945012
61,92226636
62,96952027
63,102378495
64,109076464
65,130241780
66,134852372
67,140057825
68,145467443
69,154129180
70,175696971
71,199758809
72,233809939
73,236030488
74,241375357
75,248208104
76,255361988
77,263425280
78,270258288
79,279825731
80,288104604
81,296439095
82,304443131
83,311460097
84,366626904
85,415642193
86,421030944
87,428521147
88,436563212
89,445260818
90,453530904
