Day,Sales,Trading Profit,Operating Expense,Net Profit
11,5805460,1605108,1207837,398812
12,6285491,1917664,1260897,658565
13,7738968,3228189,1319984,1908976
14,8241824,2736465,1656680,1080170
15,8767168,3062516,1708271,1356396
16,10441125,4499963,1809791,2690172
17,11044308,4848147,1872520,2975627
18,11640708,4911683,2052538,2860172
19,12305706,5387202,2183919,3203283
20,13603288,6093798,2401856,3691942
21,14474066,5963262,2628095,3335167
22,15696834,6972270,2697240,4275030
23,17150739,8282347,6549674,1734728
24,17960232,8700964,6681267,2021752
25,18792175,9124487,6796082,2330460
26,19872861,9492326,7012372,2482009
27,21101127,10481180,7088881,3393840
28,22687516,10430985,7478175,2953581
29,23743413,10905366,7659480,3246913
30,26511011,13411358,7731315,5680043
31,28182171,14219225,12066031,2154992
32,29481671,15209387,12141971,3068893
33,34527731,18716238,12428422,6287816
34,36374831,18275656,13143377,5132279
35,39768241,20866236,13292391,7573845
36,43165531,23307173,13520446,9786727
37,44792178,24649582,13610537,11039045
38,47604217,27127383,13702072,13425311
39,49711377,28918484,13793785,15124699
40,52067024,30932650,13883498,17049152
41,54312804,32105357,14126841,17978516
42,56626224,34089334,14221532,19867802
43,59972084,35977230,14660558,21316672
44,66926364,41890004,14809587,27080417
45,73168364,47405765,14934732,32471033
46,75200464,49134795,15065558,34069237
47,77927544,51498258,15167210,36331048
48,80930060,54138339,15272820,38865519
49,84199816,57067234,15374267,41692967
50,87193376,58627883,15902913,42724970
51,90438990,61534319,16004752,45529567
52,102876744,72819604,16148851,56670753
53,112841534,80840604,16512177,64328427
54,121762847,88866102,16685648,72180454
55,125355530,92204649,16828971,75375678
56,129595673,94854084,17218934,77635150
57,133412699,98355395,17364615,80990780
58,139588753,104097073,17512384,86584689
59,144459863,108188121,17738924,90449197
60,149900828,112683355,18076800,94606555
61,155686129,118093164,18237158,99856006
62,161710649,122453758,18898861,103554897
63,168084776,126436553,19349454,107087099
64,175983201,132131360,20068174,112063186
65,198906049,153452763,20958640,132494123
66,207656568,161822682,21099006,140723676
67,214166001,167956174,21234510,146761664
68,221042186,174456313,21527745,152968568
69,230007071,183027147,21778841,161288306
70,254211711,204068716,22406870,181701846
71,279653034,228284672,22601332,205730025
72,314436740,261518117,22904069,238700733
73,320204613,267015357,23287788,243814254
74,327211328,273718775,23778329,250027131
75,335763314,281913719,24268123,257732281
76,344683086,290473382,24757106,265802961
77,353811060,297701932,25855123,271933494
78,362600024,305687488,26911614,278862559
79,373397730,316131850,27818212,288400323
80,383090766,325468845,28906910,296648620
81,392516554,334564612,30031542,304619755
82,402114130,343804421,31138561,312752545
83,412098401,353455853,32833529,320709009
84,471724182,411065922,34542716,376609891
85,524135424,460854345,36503596,424437434
86,532421950,468878481,38194374,430742793
87,542245668,478440655,40284077,438215264
88,552620562,488507673,42366121,446173572
89,563373064,497810786,44698346,453115127
90,573782394,507918091,46772250,461123195
